N,integral
1706,18.4036
1707,18.7493
1708,19.1197
1709,18.6491
1710,18.7108
1711,18.8631
1712,19.0535
1713,18.4474
1714,18.4876
1715,18.4346
1716,19.0928
1717,18.8969
1718,19.1016
1719,18.417
1720,18.428
1721,18.4743
1722,19.0144
1723,18.4838
1724,19.2628
1725,18.7889
1726,19.1379
1727,18.7866
1728,18.7235
1729,18.8521
1730,18.6508
1731,18.7069
1732,18.9974
1733,18.6584
1734,18.3829
1735,18.3452
1736,19.0687
1737,19.4143
1738,19.0216
1739,18.5525
1740,19.1561
1741,18.734
1742,18.4222
1743,18.6363
1744,18.2347
1745,18.9207
1746,18.6495
1747,18.7492
1748,18.9081
1749,18.7486
1750,18.7489
1751,19.0864
1752,18.5777
1753,18.8009
1754,18.9951
1755,18.6847
1756,18.5975
1757,19.4539
1758,19.1113
1759,18.9701
1760,19.0596
1761,18.574
1762,19.1408
1763,18.8832
1764,18.3649
1765,18.6119
1766,18.7691
1767,18.3797
1768,19.1048
1769,19.5144
1770,18.8811
1771,18.9361
1772,18.151
1773,18.6635
1774,18.8912
1775,18.9248
1776,18.9137
1777,19.156
1778,18.5179
1779,19.3209
1780,18.8862
1781,18.8919
1782,18.0465
1783,18.2808
1784,19.5085
1785,18.192
1786,18.6701
1787,19.0003
1788,18.694
1789,18.7546
1790,18.9222
1791,18.5194
1792,18.5385
1793,19.0831
1794,18.6572
1795,18.3543
1796,18.4942
1797,18.5819
1798,19.0094
1799,18.1899
1800,18.3697
1801,18.9509
1802,18.8901
1803,18.9327
1804,18.7647
1805,18.5671
1806,18.9813
1807,18.4569
1808,19.2702
1809,19.2235
1810,18.3614
1811,18.8013
1812,17.9642
1813,19.2003
1814,18.8927
1815,19.1554
1816,18.7246
1817,18.8691
1818,18.9254
1819,18.2937
1820,18.5987
1821,18.5846
1822,18.9081
1823,19.0029
1824,18.3656
1825,18.5234
1826,18.9687
1827,18.3517
1828,18.7901
1829,18.4914
1830,18.636
1831,18.633
1832,18.166
1833,18.9516
1834,19.0393
1835,18.3317
1836,18.0719
1837,19.003
1838,18.4362
1839,18.6008
1840,18.9353
1841,18.6236
1842,18.8901
1843,18.9693
1844,19.0189
1845,18.2462
1846,18.9038
1847,18.7065
1848,18.6391
1849,19.0528
1850,18.8593
1851,18.5214
1852,18.6793
1853,19.0984
1854,18.633
1855,18.7057
1856,18.5379
1857,18.9372
1858,18.399
1859,18.4669
1860,18.7032
1861,18.5195
1862,18.6527
1863,18.9305
1864,19.1475
1865,18.3354
1866,19.078
1867,18.7759
1868,18.5644
1869,18.3981
1870,17.9616
1871,19.0434
1872,18.9138
1873,18.1806
1874,18.3205
1875,18.7791
1876,18.607
1877,18.3076
1878,18.77
1879,18.3567
1880,18.6119
1881,18.773
1882,18.7453
1883,19.3611
1884,18.9001
1885,19.1495
1886,18.347
1887,18.0139
1888,18.6667
1889,18.3945
1890,18.7287
1891,19.8403
1892,18.0275
1893,19.0356
1894,19.3075
1895,18.3159
1896,19.0281
