N,relError
1032,0.0133647
1033,0.0127865
1034,0.0117453
1035,0.00237787
1036,0.000541328
1037,0.0167183
1038,0.00903371
1039,0.0253005
1040,0.00067469
1041,0.0489311
1042,0.00827231
1043,0.0269453
1044,0.0133387
1045,0.0174266
1046,0.0141476
1047,0.00418365
1048,0.0261566
1049,0.0096942
1050,0.00383636
1051,0.00552641
1052,0.00889039
1053,0.00913087
1054,0.00966478
1055,0.0284409
1056,0.0171446
1057,0.019232
1058,0.0028689
1059,0.00753529
1060,0.053427
1061,0.0309116
1062,0.0286702
1063,0.00839125
1064,0.0164333
1065,0.0296153
1066,0.0324211
1067,0.00838474
1068,0.0118436
1069,0.0119255
1070,0.0196347
1071,0.00489988
1072,0.00106734
1073,0.0140902
1074,0.0422572
1075,0.0340177
1076,0.0334721
1077,0.00343655
1078,0.0328925
1079,0.0338739
1080,0.0122082
1081,0.015751
1082,0.0248314
1083,0.0378537
1084,0.0170182
1085,0.0114093
1086,0.0121712
1087,0.0273735
1088,0.00740221
1089,0.00733409
1090,0.0171319
1091,0.00826643
1092,0.0507111
1093,0.015446
1094,0.00385434
1095,0.0123003
1096,0.00525903
1097,0.00374599
1098,0.0053325
1099,0.0219174
1100,0.00611126
1101,0.020881
1102,0.00349007
1103,0.0011622
1104,0.0131118
1105,0.0190588
1106,0.0642203
1107,0.0287283
1108,0.0108215
1109,0.0216124
1110,0.0179924
1111,0.0134506
1112,0.0123187
1113,0.0139155
1114,0.0348031
1115,0.00555667
1116,0.0056105
1117,0.0398138
1118,0.0247827
1119,0.025448
1120,0.00385945
1121,0.0056351
1122,0.00128689
1123,0.00302895
1124,0.0107805
1125,0.0186151
1126,0.000222282
1127,0.0147271
1128,0.0155255
1129,0.0349927
1130,0.0201719
1131,0.0145677
1132,0.00627569
1133,0.0142031
1134,0.0381402
1135,0.00362271
1136,0.00260762
1137,0.011779
1138,0.00501231
1139,0.0158327
1140,0.00251562
1141,0.0198305
1142,0.0205598
1143,0.0218817
1144,0.0257613
1145,0.0141641
1146,0.0192654
1147,0.0244288
1148,0.000398243
1149,0.0258296
1150,0.0131559
1151,0.0180475
1152,0.00432006
1153,0.0301162
1154,0.00368525
1155,0.0166884
1156,0.0025141
1157,0.0230509
1158,0.0339845
1159,0.0331626
1160,0.00554531
1161,0.00227316
1162,0.00603398
1163,0.00385045
1164,0.00103062
1165,0.0107743
1166,0.0201536
1167,0.00829177
1168,0.00852185
1169,0.0219802
1170,0.0337914
1171,0.0326843
1172,0.0254634
1173,0.00668068
1174,0.0487341
1175,0.00278979
1176,0.00672613
1177,0.0418601
1178,0.0136246
1179,0.00308606
1180,0.0161281
1181,0.0178022
1182,0.00216595
1183,0.00350348
1184,0.0160068
1185,0.0004866
1186,0.0253034
1187,0.0129986
1188,0.0128691
1189,0.0214662
1190,0.0473545
1191,0.0431294
1192,0.00221534
1193,0.0172323
1194,0.0310758
1195,0.00976709
1196,0.0114098
1197,0.0383759
1198,0.0203083
1199,0.0238511
1200,0.00963945
1201,0.0110317
1202,0.00818616
1203,0.00308845
1204,0.0115546
1205,0.00887855
1206,0.0241335
1207,0.00842254
1208,0.0510214
1209,0.00192477
1210,0.0117649
1211,0.0253074
1212,0.0124277
1213,0.0141266
1214,0.00475484
1215,0.0160213
1216,0.00287797
1217,0.0188535
1218,0.0115471
1219,0.0202329
1220,0.0144442
1221,0.00856358
1222,0.0183295
1223,0.0188279
1224,0.0377957
1225,0.0439674
1226,0.0365559
1227,0.00343182
1228,0.00750358
1229,0.0119946
1230,0.0167943
1231,0.00602316
1232,0.0283831
1233,0.0484835
1234,0.0288864
1235,0.0162079
1236,0.0120374
1237,0.0363749
1238,0.0144504
1239,0.0229645
1240,0.00642999
1241,0.00817497
1242,0.0363531
1243,0.00831138
1244,0.0103166
1245,0.0157882
1246,0.0232389
1247,0.00381719
1248,0.00207229
1249,0.0368114
1250,0.00736123
1251,0.0028259
1252,0.0183202
1253,0.0182945
1254,0.0218769
1255,0.00810895
1256,0.00112064
1257,0.0205992
1258,0.0264997
1259,0.013035
1260,0.0189468
1261,0.0335681
1262,0.0169461
1263,0.0443354
1264,0.0131801
1265,0.00366784
1266,0.00835375
1267,0.023615
1268,0.0285546
1269,0.019682
1270,0.0173516
1271,0.0215542
1272,0.0149482
1273,0.0178826
1274,0.0088154
1275,0.0092564
1276,0.00691294
1277,0.0159355
1278,0.000514163
1279,0.0354546
1280,0.00621332
1281,0.0118797
1282,0.00844726
1283,0.000193936
1284,0.01152
1285,0.0159451
1286,0.00989404
1287,0.0367738
1288,0.0105695
1289,0.00440676
1290,0.030695
1291,0.00460858
1292,0.000737563
1293,0.00185313
1294,0.00689769
1295,0.0093894
1296,0.0164628
1297,0.0142286
1298,0.036169
1299,0.00979849
1300,0.00308147
1301,0.0213526
1302,0.0182225
1303,0.0103681
1304,0.00881974
1305,0.0112137
1306,0.00689177
1307,0.0243504
1308,0.0124716
1309,0.0072914
1310,0.0387553
1311,0.00535141
1312,0.0063576
1313,0.0178952
1314,0.00625584
1315,0.000135951
1316,0.0610441
1317,0.00817796
1318,0.0109142
1319,0.0124692
1320,0.0169536
1321,0.0108525
1322,0.000758749
1323,0.0156299
1324,0.015588
1325,0.0157698
1326,0.0323623
1327,0.00892927
1328,0.00844287
1329,0.0032942
1330,0.0249631
1331,0.0167511
1332,0.00896101
1333,0.00916988
1334,0.000321955
1335,0.00838685
1336,0.0234704
1337,0.0200538
1338,0.0179952
1339,0.0306422
1340,0.0344867
1341,0.00104624
1342,0.00615398
1343,0.0160672
1344,0.0255454
1345,0.0401683
1346,0.038818
1347,0.00541665
1348,0.00983316
1349,0.0151574
1350,4.73428e-05
1351,0.0198531
1352,0.0016402
1353,0.00810203
1354,0.0304331
1355,0.0423554
1356,0.0166372
1357,0.017921
1358,0.0314447
1359,0.0087573
1360,0.0208484
1361,0.0285052
1362,0.00661691
1363,0.0216326
1364,0.00475657
1365,0.00556258
1366,0.0175847
1367,0.0444572
1368,0.000959602
1369,0.0368461
1370,0.0229656
1371,0.00883501
1372,0.0439791
1373,0.00469757
1374,0.0265305
1375,0.0148268
1376,0.00748886
1377,0.00624367
1378,0.0083811
1379,0.00163233
1380,0.00816492
1381,0.0336253
1382,0.0108907
1383,0.0268727
1384,0.00804731
1385,0.0148666
1386,0.0230847
1387,0.0226174
1388,0.00817842
1389,0.0134836
1390,0.018047
1391,0.027621
1392,0.0305015
1393,0.00117818
1394,0.00584157
1395,0.00294174
1396,0.0011899
1397,0.000548729
1398,0.00672346
1399,0.0102259
1400,0.0212543
1401,0.0276562
1402,0.00657995
1403,0.0382625
1404,0.000303251
1405,0.00543709
1406,0.000713134
1407,0.0101325
1408,0.00470995
1409,0.00631291
