-0.950587,-0.0060747,0.358793,-0.01580294.79488,-0.0019206,1.26238,0.00767538
-0.956528,-0.00580572,0.342941,-0.01590194.79295,-0.00193223,1.27005,0.0076723
-0.962198,-0.00553518,0.326991,-0.01599644.79102,-0.00194387,1.27772,0.00766921
-0.967598,-0.00526316,0.310949,-0.01608634.78907,-0.00195549,1.28539,0.0076661
-0.972724,-0.00498973,0.29482,-0.01617164.7871,-0.00196711,1.29305,0.00766297
-0.977577,-0.00471496,0.278608,-0.01625244.78513,-0.00197873,1.30071,0.00765982
-0.982154,-0.00443892,0.262317,-0.01632864.78315,-0.00199034,1.30837,0.00765666
-0.986454,-0.0041617,0.245952,-0.01640024.78115,-0.00200194,1.31603,0.00765347
-0.990477,-0.00388336,0.229518,-0.01646714.77914,-0.00201354,1.32368,0.00765027
-0.99422,-0.00360399,0.213019,-0.01652944.77712,-0.00202514,1.33133,0.00764705
-0.997684,-0.00332364,0.196461,-0.01658714.77509,-0.00203672,1.33897,0.00764381
-1.00087,-0.00304241,0.179847,-0.016644.77305,-0.0020483,1.34662,0.00764055
-1.00377,-0.00276037,0.163182,-0.01668834.771,-0.00205988,1.35425,0.00763728
-1.00639,-0.00247759,0.146472,-0.01673184.76893,-0.00207145,1.36189,0.00763398
-1.00872,-0.00219415,0.12972,-0.01677074.76685,-0.00208302,1.36952,0.00763067
-1.01078,-0.00191012,0.112932,-0.01680484.76476,-0.00209458,1.37715,0.00762734
-1.01254,-0.00162558,0.0961119,-0.01683424.76266,-0.00210613,1.38478,0.00762399
-1.01403,-0.00134061,0.0792649,-0.01685894.76055,-0.00211768,1.3924,0.00762062
-1.01523,-0.00105528,0.0623957,-0.01687884.75843,-0.00212922,1.40002,0.00761724
-1.01614,-0.000769666,0.0455089,-0.0168944.75629,-0.00214075,1.40763,0.00761383
-1.01676,-0.000483848,0.0286093,-0.01690444.75415,-0.00215228,1.41525,0.00761041
-1.01711,-0.000197901,0.0117017,-0.01691014.75199,-0.00216381,1.42286,0.00760697
-1.01716,8.80988e-05,-0.00520921,-0.0169114.74982,-0.00217532,1.43046,0.00760351
-1.01693,0.000374075,-0.0221187,-0.01690714.74764,-0.00218684,1.43806,0.00760003
-1.01641,0.000659951,-0.0390219,-0.01689854.74545,-0.00219834,1.44566,0.00759654
-1.01561,0.000945652,-0.0559141,-0.01688524.74324,-0.00220984,1.45326,0.00759302
-1.01452,0.0012311,-0.0727907,-0.01686714.74103,-0.00222133,1.46085,0.00758949
-1.01315,0.00151622,-0.0896467,-0.01684424.7388,-0.00223282,1.46843,0.00758594
-1.01149,0.00180093,-0.106478,-0.01681674.73656,-0.0022443,1.47602,0.00758238
-1.00955,0.00208517,-0.123278,-0.01678444.73431,-0.00225578,1.4836,0.00757879
-1.00732,0.00236884,-0.140045,-0.01674734.73205,-0.00226725,1.49118,0.00757519
-1.00481,0.00265189,-0.156772,-0.01670564.72978,-0.00227871,1.49875,0.00757156
-1.00201,0.00293422,-0.173454,-0.01665914.72749,-0.00229016,1.50632,0.00756792
-0.99894,0.00321577,-0.190088,-0.0166084.7252,-0.00230161,1.51389,0.00756427
-0.995584,0.00349646,-0.206669,-0.01655214.72289,-0.00231306,1.52145,0.00756059
-0.991947,0.00377622,-0.223191,-0.01649164.72057,-0.00232449,1.52901,0.0075569
-0.988031,0.00405496,-0.23965,-0.01642654.71824,-0.00233592,1.53656,0.00755318
-0.983838,0.00433262,-0.256042,-0.01635674.7159,-0.00234735,1.54411,0.00754945
-0.979367,0.00460912,-0.272362,-0.01628224.71354,-0.00235877,1.55166,0.0075457
-0.97462,0.00488439,-0.288605,-0.01620324.71118,-0.00237018,1.5592,0.00754194
-0.969598,0.00515834,-0.304767,-0.01611964.7088,-0.00238158,1.56674,0.00753815
-0.964303,0.00543092,-0.320843,-0.01603144.70642,-0.00239298,1.57428,0.00753435
-0.958737,0.00570203,-0.336828,-0.01593874.70402,-0.00240437,1.58181,0.00753053
-0.9529,0.00597162,-0.352719,-0.01584154.70161,-0.00241575,1.58934,0.00752669
-0.946794,0.0062396,-0.36851,-0.01573974.69919,-0.00242713,1.59687,0.00752284
